,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
6382,Papel higiénico,Rollos,10.71,11.22,120.16620000000002,2014-11-01
6383,Jabón de baño,Unidad,4.67,5.96,27.833199999999998,2014-11-01
6384,Toallas sanitarias ,Bolsa de 10 unid,2.21,15.120000000000001,33.4152,2014-11-01
6385,Desodorante nacional,Unidad,1.9,21.66,41.153999999999996,2014-11-01
6386,Cepillo dental,Unidad,2.49,10.15,25.273500000000002,2014-11-01
6387,Alquiler,Valor (C$) mensual,1,900,900,2014-11-01
6388,Gas butano , 25 libras,1,261.67,261.67,2014-11-01
6389,Luz eléctrica,KWH,100,2.67379,267.37899999999996,2014-11-01
6390,Agua,Galones,5292,0.0192972,102.1207824,2014-11-01
6391,Transporte ,Pasaje,240,2.5,600,2014-11-01
6392, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,344.18,213.83562701445982,2014-11-01
6393, Camisa manga corta ,Unidad,0.6600037006796985,98.51,65.0169645539571,2014-11-01
6394, Calzoncillos,Unidad,1.56501893310219,33.39,52.255982176282124,2014-11-01
6395, Calcetines,Par,1.3198798072969047,24.96,32.94419999013074,2014-11-01
6396," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,353.02,152.57923442137687,2014-11-01
6397, Blusa manga corta ,Unidad,0.66,91.31,60.2646,2014-11-01
6398, Pantalón largo de tela de jeans ,Unidad,0.51,321.85,164.14350000000002,2014-11-01
6399, Vestido entero ,Unidad,0.5,233.29,116.645,2014-11-01
6400, Calzones/ Bikinis,Unidad,1.23,32.07,39.4461,2014-11-01
6401, Brassier/ sostén,Unidad,0.97,34.19,33.1643,2014-11-01
6402, Sandalias de cuero sintético ,Par,0.44,211.56,93.0864,2014-11-01
6403, Traje completo,Unidad,0.5019645078350022,242.75,121.85188427694679,2014-11-01
6404, Calzones,Unidad,1.4326365541172035,22.1,31.6612678459902,2014-11-01
6405, Calcetines,Par,1.3882846737113883,21.04,29.20950953488761,2014-11-01
6406, Zapato de cuero sintético ,Par,0.44713223086502013,283.21,126.63231910328234,2014-11-01
6407,Arroz ,Libra,38,12.3,467.40000000000003,2014-12-01
6408,Frijol ,Libra,34,21.93,745.62,2014-12-01
6409,Azúcar ,Libra,30,9.75,292.5,2014-12-01
6410,Aceite ,Litro,7,33.75,236.25,2014-12-01
6411,Posta de res,Libra,8,70.56,564.48,2014-12-01
6412,Posta de cerdo,Libra,5,63.730000000000004,318.65000000000003,2014-12-01
6413,Carne de aves,Libra,8,34.43,275.44,2014-12-01
6414,Chuleta de pescado,Libra,9,64.15,577.35,2014-12-01
6415,Leche ,Litro,30,25.88,776.4,2014-12-01
6416,Huevos,Docena,7,46.92,328.44,2014-12-01
6417,Queso seco,Libra,9,58.83,529.47,2014-12-01
6418,Tortilla ,Libra,57,13.16,750.12,2014-12-01
6419,Pinolillo,Libra,10,22.18,221.8,2014-12-01
6420,Pastas alimenticias  ,Libra,5,22.62,113.10000000000001,2014-12-01
6421,Pan ,Libra,27,20.48,552.96,2014-12-01
6422,Tomate de cocinar,Libra,14,19.02,266.28,2014-12-01
6423,Cebolla blanca,Libra,8,23.69,189.52,2014-12-01
6424,Papas,Libra,15,17.3,259.5,2014-12-01
6425,Ayote,Libra,32,5.58,178.56,2014-12-01
6426,Chiltoma ,Libra,3,43.52,130.56,2014-12-01
6427,Plátano verde,Libra,16,10.870000000000001,173.92000000000002,2014-12-01
6428,Naranja ,Libra,46,5.53,254.38000000000002,2014-12-01
6429,Repollo,Libra,2,6.98,13.96,2014-12-01
6430,Jabón de lavar ropa,Unidad,12.55,12.96,162.64800000000002,2014-12-01
6431,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.36,66.00919999999999,2014-12-01
6432,Pasta dental,Unidad de 115 grs ,2.13,29.2,62.196,2014-12-01
6433,Fósforos,Cajita de 40 cerrillos,10.87,0.89,9.674299999999999,2014-12-01
6434,Escoba ,Unidad,1.22,38.7,47.214000000000006,2014-12-01
6435,Papel higiénico,Rollos,10.71,11.09,118.77390000000001,2014-12-01
6436,Jabón de baño,Unidad,4.67,6.01,28.066699999999997,2014-12-01
6437,Toallas sanitarias ,Bolsa de 10 unid,2.21,15.19,33.5699,2014-12-01
6438,Desodorante nacional,Unidad,1.9,21.66,41.153999999999996,2014-12-01
6439,Cepillo dental,Unidad,2.49,10.15,25.273500000000002,2014-12-01
6440,Alquiler,Valor (C$) mensual,1,900,900,2014-12-01
6441,Gas butano , 25 libras,1,232.65,232.65,2014-12-01
6442,Luz eléctrica,KWH,100,2.68489,268.48900000000003,2014-12-01
6443,Agua,Galones,5292,0.0192972,102.1207824,2014-12-01
6444,Transporte ,Pasaje,240,2.5,600,2014-12-01
6445, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,344.71,214.1649107680703,2014-12-01
6446, Camisa manga corta ,Unidad,0.6600037006796985,98.69,65.13576522007945,2014-12-01
6447, Calzoncillos,Unidad,1.56501893310219,33.7,52.741138045543806,2014-12-01
6448, Calcetines,Par,1.3198798072969047,24.96,32.94419999013074,2014-12-01
6449," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,355.91,153.8283250889815,2014-12-01
6450, Blusa manga corta ,Unidad,0.66,91.57000000000001,60.43620000000001,2014-12-01
6451, Pantalón largo de tela de jeans ,Unidad,0.51,324.99,165.7449,2014-12-01
6452, Vestido entero ,Unidad,0.5,233.54,116.77,2014-12-01
6453, Calzones/ Bikinis,Unidad,1.23,32.3,39.729,2014-12-01
6454, Brassier/ sostén,Unidad,0.97,34.28,33.2516,2014-12-01
6455, Sandalias de cuero sintético ,Par,0.44,211.56,93.0864,2014-12-01
6456, Traje completo,Unidad,0.5019645078350022,246.22,123.59370111913425,2014-12-01
6457, Calzones,Unidad,1.4326365541172035,22.16,31.74722603923723,2014-12-01
6458, Calcetines,Par,1.3882846737113883,21.13,29.334455155521635,2014-12-01
6459, Zapato de cuero sintético ,Par,0.44713223086502013,283.23,126.64126174789966,2014-12-01
6460,Arroz ,Libra,38,10.450000000000001,397.1,2013-01-01
6461,Frijol ,Libra,34,10.22,347.48,2013-01-01
6462,Azúcar ,Libra,30,8.49,254.70000000000002,2013-01-01
6463,Aceite ,Litro,7,34.71,242.97,2013-01-01
6464,Posta de res,Libra,8,54.85,438.8,2013-01-01
6465,Posta de cerdo,Libra,5,53.75,268.75,2013-01-01
6466,Carne de aves,Libra,8,29.98,239.84,2013-01-01
6467,Chuleta de pescado,Libra,9,55.410000000000004,498.69000000000005,2013-01-01
6468,Leche ,Litro,30,21.549999999999994,646.4999999999998,2013-01-01
6469,Huevos,Docena,7,42.94,300.58,2013-01-01
6470,Queso seco,Libra,9,52.94,476.46,2013-01-01
6471,Tortilla ,Libra,57,13.86,790.02,2013-01-01
6472,Pinolillo,Libra,10,20.79,207.89999999999998,2013-01-01
6473,Pastas alimenticias  ,Libra,5,19.92,99.60000000000001,2013-01-01
6474,Pan ,Libra,27,19.13,516.51,2013-01-01
6475,Tomate de cocinar,Libra,14,15.120000000000001,211.68,2013-01-01
6476,Cebolla blanca,Libra,8,18.56,148.48,2013-01-01
6477,Papas,Libra,15,17.07,256.05,2013-01-01
6478,Ayote,Libra,32,7.5,240,2013-01-01
6479,Chiltoma ,Libra,3,46.14,138.42000000000002,2013-01-01
6480,Plátano verde,Libra,16,6.2,99.2,2013-01-01
6481,Naranja ,Libra,46,3.64,167.44,2013-01-01
6482,Repollo,Libra,2,4.2,8.4,2013-01-01
6483,Jabón de lavar ropa,Unidad,12.55,12.700000000000001,159.38500000000002,2013-01-01
6484,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.12,59.2964,2013-01-01
6485,Pastas dental,Unidad de 115 grs ,2.13,28.17,60.0021,2013-01-01
6486,Fósforos,Cajita de 40 cerrillos,10.87,0.99,10.761299999999999,2013-01-01
6487,Escoba ,Unidad,1.22,37.65,45.933,2013-01-01
6488,Papel higiénico,Rollos,10.71,10.53,112.7763,2013-01-01
6489,Jabón de baño,Unidad,4.67,5.7,26.619,2013-01-01
6490,Toallas sanitarias ,Bolsa de 10 unid,2.21,13.870000000000001,30.652700000000003,2013-01-01
6491,Desodorante nacional,Unidad,1.9,20.7,39.33,2013-01-01
6492,Cepillo dental,Unidad,2.49,9.89,24.626100000000005,2013-01-01
6493,Alquiler,Valor (C$) mensual,1,900,900,2013-01-01
6494,Gas butano , 25 libras,1,254.31449523544586,254.31449523544586,2013-01-01
6495,Luz eléctrica,KWH,100,2.4405059999999996,244.05059999999997,2013-01-01
6496,Agua,Galones,5292,0.01559,82.50228,2013-01-01
6497,Transporte ,Pasaje,240,2.5,600,2013-01-01
6498, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,307.67,191.15232542140407,2013-01-01
6499, Camisa manga corta ,Unidad,0.6600037006796985,98.13,64.7661631476988,2013-01-01
6500, Calzoncillos,Unidad,1.56501893310219,30.17,47.216621211693074,2013-01-01
6501, Calcetines,Par,1.3198798072969047,22.8,30.09325960636943,2013-01-01
6502," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,326.67,141.1904665696878,2013-01-01
6503, Blusa manga corta ,Unidad,0.66,83.53,55.1298,2013-01-01
6504, Pantalón largo de tela de jeans ,Unidad,0.51,286.06,145.8906,2013-01-01
6505, Vestido entero ,Unidad,0.5,219.99,109.995,2013-01-01
6506, Calzones/ Bikinis,Unidad,1.23,27.44,33.751200000000004,2013-01-01
6507, Brassiers/ sostén,Unidad,0.97,30.77,29.846899999999998,2013-01-01
6508, Sandalias de cuero sintético ,Par,0.44,196.06,86.2664,2013-01-01
6509, Traje completo,Unidad,0.5019645078350022,228.02,114.45794707653721,2013-01-01
6510, Calzones,Unidad,1.4326365541172035,19.41,27.807475515414918,2013-01-01
6511, Calcetines,Par,1.3882846737113883,19.22,26.682831428732882,2013-01-01
6512, Zapato de cuero sintético ,Par,0.44713223086502013,255.41,114.20204308523479,2013-01-01
6513,Arroz ,Libra,38,10.64,404.32000000000005,2013-02-01
6514,Frijol ,Libra,34,9.72,330.48,2013-02-01
6515,Azúcar ,Libra,30,8.57,257.1,2013-02-01
6516,Aceite ,Litro,7,34.54,241.78,2013-02-01
6517,Posta de res,Libra,8,55.1,440.8,2013-02-01
6518,Posta de cerdo,Libra,5,53.57,267.85,2013-02-01
6519,Carne de aves,Libra,8,29.990000000000002,239.92000000000002,2013-02-01
6520,Chuleta de pescado,Libra,9,57.38,516.4200000000001,2013-02-01
6521,Leche ,Litro,30,21.549999999999994,646.4999999999998,2013-02-01
6522,Huevos,Docena,7,41.87,293.09,2013-02-01
6523,Queso seco,Libra,9,51.93,467.37,2013-02-01
6524,Tortilla ,Libra,57,14.24,811.6800000000001,2013-02-01
6525,Pinolillo,Libra,10,21.3,213,2013-02-01
6526,Pastas alimenticias  ,Libra,5,20.04,100.19999999999999,2013-02-01
6527,Pan ,Libra,27,19.18,517.86,2013-02-01
6528,Tomate de cocinar,Libra,14,15.38,215.32000000000002,2013-02-01
6529,Cebolla blanca,Libra,8,17.54,140.32,2013-02-01
6530,Papas,Libra,15,15.280000000000001,229.20000000000002,2013-02-01
6531,Ayote,Libra,32,6.05,193.6,2013-02-01
6532,Chiltoma ,Libra,3,41.47,124.41,2013-02-01
6533,Plátano verde,Libra,16,7.13,114.08,2013-02-01
6534,Naranja ,Libra,46,3.74,172.04000000000002,2013-02-01
6535,Repollo,Libra,2,4.79,9.58,2013-02-01
6536,Jabón de lavar ropa,Unidad,12.55,12.77,160.2635,2013-02-01
6537,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.12,59.2964,2013-02-01
6538,Pastas dental,Unidad de 115 grs ,2.13,28.330000000000002,60.3429,2013-02-01
6539,Fósforos,Cajita de 40 cerrillos,10.87,0.99,10.761299999999999,2013-02-01
6540,Escoba ,Unidad,1.22,37.39,45.6158,2013-02-01
6541,Papel higiénico,Rollos,10.71,10.77,115.3467,2013-02-01
6542,Jabón de baño,Unidad,4.67,5.75,26.8525,2013-02-01
6543,Toallas sanitarias ,Bolsa de 10 unid,2.21,13.93,30.7853,2013-02-01
6544,Desodorante nacional,Unidad,1.9,20.75,39.425,2013-02-01
6545,Cepillo dental,Unidad,2.49,9.94,24.750600000000002,2013-02-01
6546,Alquiler,Valor (C$) mensual,1,900,900,2013-02-01
6547,Gas butano , 25 libras,1,257.1060056128985,257.1060056128985,2013-02-01
6548,Luz eléctrica,KWH,100,2.450163,245.0163,2013-02-01
6549,Agua,Galones,5292,0.015590373999092976,82.50425920320004,2013-02-01
6550,Transporte ,Pasaje,240,2.5,600,2013-02-01
6551, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,314.14,195.17207237585683,2013-02-01
6552, Camisa manga corta ,Unidad,0.6600037006796985,99.55,65.70336840266398,2013-02-01
6553, Calzoncillos,Unidad,1.56501893310219,30.42,47.60787594496862,2013-02-01
6554, Calcetines,Par,1.3198798072969047,23.14,30.542018740850374,2013-02-01
6555," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,328.21,141.8560719773387,2013-02-01
6556, Blusa manga corta ,Unidad,0.66,83.57000000000001,55.156200000000005,2013-02-01
6557, Pantalón largo de tela de jeans ,Unidad,0.51,288.98,147.37980000000002,2013-02-01
6558, Vestido entero ,Unidad,0.5,221.09,110.545,2013-02-01
6559, Calzones/ Bikinis,Unidad,1.23,27.88,34.2924,2013-02-01
6560, Brassiers/ sostén,Unidad,0.97,31.34,30.3998,2013-02-01
6561, Sandalias de cuero sintético ,Par,0.44,197.22,86.7768,2013-02-01
6562, Traje completo,Unidad,0.5019645078350022,228.62,114.75912578123821,2013-02-01
6563, Calzones,Unidad,1.4326365541172035,19.39,27.778822784332576,2013-02-01
6564, Calcetines,Par,1.3882846737113883,19.37,26.891074129789594,2013-02-01
6565, Zapato de cuero sintético ,Par,0.44713223086502013,260.23,116.35722043800419,2013-02-01
6566,Arroz ,Libra,38,10.64,404.32000000000005,2013-03-01
6567,Frijol ,Libra,34,9.370000000000001,318.58000000000004,2013-03-01
6568,Azúcar ,Libra,30,8.61,258.29999999999995,2013-03-01
6569,Aceite ,Litro,7,34.74,243.18,2013-03-01
6570,Posta de res,Libra,8,55.79,446.32,2013-03-01
6571,Posta de cerdo,Libra,5,53.28,266.4,2013-03-01
6572,Carne de aves,Libra,8,29.78,238.24,2013-03-01
6573,Chuleta de pescado,Libra,9,57.29,515.61,2013-03-01
6574,Leche ,Litro,30,21.549999999999994,646.4999999999998,2013-03-01
6575,Huevos,Docena,7,40.96,286.72,2013-03-01
6576,Queso seco,Libra,9,51.28,461.52,2013-03-01
6577,Tortilla ,Libra,57,13.64,777.48,2013-03-01
6578,Pinolillo,Libra,10,21.3,213,2013-03-01
6579,Pastas alimenticias  ,Libra,5,20.26,101.30000000000001,2013-03-01
6580,Pan ,Libra,27,18.900000000000002,510.30000000000007,2013-03-01
6581,Tomate de cocinar,Libra,14,14.69,205.66,2013-03-01
6582,Cebolla blanca,Libra,8,17.81,142.48,2013-03-01
6583,Papas,Libra,15,13.780000000000001,206.70000000000002,2013-03-01
6584,Ayote,Libra,32,6.36,203.52,2013-03-01
6585,Chiltoma ,Libra,3,37.85,113.55000000000001,2013-03-01
6586,Plátano verde,Libra,16,7.3500000000000005,117.60000000000001,2013-03-01
6587,Naranja ,Libra,46,4.34,199.64,2013-03-01
6588,Repollo,Libra,2,5.12,10.24,2013-03-01
6589,Jabón de lavar ropa,Unidad,12.55,12.76,160.138,2013-03-01
6590,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.17,60.6949,2013-03-01
6591,Pastas dental,Unidad de 115 grs ,2.13,28.09,59.8317,2013-03-01
6592,Fósforos,Cajita de 40 cerrillos,10.87,0.99,10.761299999999999,2013-03-01
6593,Escoba ,Unidad,1.22,37.39,45.6158,2013-03-01
6594,Papel higiénico,Rollos,10.71,10.85,116.2035,2013-03-01
6595,Jabón de baño,Unidad,4.67,5.75,26.8525,2013-03-01
6596,Toallas sanitarias ,Bolsa de 10 unid,2.21,13.96,30.8516,2013-03-01
6597,Desodorante nacional,Unidad,1.9,20.77,39.462999999999994,2013-03-01
6598,Cepillo dental,Unidad,2.49,9.94,24.750600000000002,2013-03-01
6599,Alquiler,Valor (C$) mensual,1,900,900,2013-03-01
6600,Gas butano , 25 libras,1,255.74456297961203,255.74456297961203,2013-03-01
6601,Luz eléctrica,KWH,100,2.459825,245.9825,2013-03-01
6602,Agua,Galones,5292,0.015590373999092976,82.50425920320004,2013-03-01
6603,Transporte ,Pasaje,240,2.5,600,2013-03-01
6604, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,316.39,196.5699751034486,2013-03-01
6605, Camisa manga corta ,Unidad,0.6600037006796985,99.56,65.70996843967079,2013-03-01
6606, Calzoncillos,Unidad,1.56501893310219,30.59,47.87392916359599,2013-03-01
6607, Calcetines,Par,1.3198798072969047,23.35,30.819193500382728,2013-03-01
6608," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,328.21,141.8560719773387,2013-03-01
6609, Blusa manga corta ,Unidad,0.66,85.08,56.1528,2013-03-01
6610, Pantalón largo de tela de jeans ,Unidad,0.51,290.62,148.21620000000001,2013-03-01
6611, Vestido entero ,Unidad,0.5,220.68,110.34,2013-03-01
6612, Calzones/ Bikinis,Unidad,1.23,28.72,35.3256,2013-03-01
6613, Brassiers/ sostén,Unidad,0.97,32.160000000000004,31.195200000000003,2013-03-01
6614, Sandalias de cuero sintético ,Par,0.44,198.21,87.2124,2013-03-01
6615, Traje completo,Unidad,0.5019645078350022,228.92000000000002,114.90971513358872,2013-03-01
6616, Calzones,Unidad,1.4326365541172035,19.94,28.566772889097038,2013-03-01
6617, Calcetines,Par,1.3882846737113883,19.46,27.016019750423617,2013-03-01
6618, Zapato de cuero sintético ,Par,0.44713223086502013,260.25,116.36616308262148,2013-03-01
6619,Arroz ,Libra,38,10.73,407.74,2013-04-01
6620,Frijol ,Libra,34,9.21,313.14000000000004,2013-04-01
6621,Azúcar ,Libra,30,8.700000000000001,261.00000000000006,2013-04-01
6622,Aceite ,Litro,7,34.06,238.42000000000002,2013-04-01
6623,Posta de res,Libra,8,56,448,2013-04-01
6624,Posta de cerdo,Libra,5,53.29,266.45,2013-04-01
6625,Carne de aves,Libra,8,29.67,237.36,2013-04-01
6626,Chuleta de pescado,Libra,9,58.74,528.66,2013-04-01
6627,Leche ,Litro,30,21.549999999999994,646.4999999999998,2013-04-01
6628,Huevos,Docena,7,39.94,279.58,2013-04-01
6629,Queso seco,Libra,9,51.6,464.40000000000003,2013-04-01
6630,Tortilla ,Libra,57,12.69,723.3299999999999,2013-04-01
6631,Pinolillo,Libra,10,21.23,212.3,2013-04-01
6632,Pastas alimenticias  ,Libra,5,20.38,101.89999999999999,2013-04-01
6633,Pan ,Libra,27,19.77,533.79,2013-04-01
6634,Tomate de cocinar,Libra,14,14.08,197.12,2013-04-01
6635,Cebolla blanca,Libra,8,25.1,200.8,2013-04-01
6636,Papas,Libra,15,13.950000000000001,209.25000000000003,2013-04-01
6637,Ayote,Libra,32,6.140000000000001,196.48000000000002,2013-04-01
6638,Chiltoma ,Libra,3,35.72,107.16,2013-04-01
6639,Plátano verde,Libra,16,7.61,121.76,2013-04-01
6640,Naranja ,Libra,46,5.5,253,2013-04-01
6641,Repollo,Libra,2,5.64,11.28,2013-04-01
6642,Jabón de lavar ropa,Unidad,12.55,12.790000000000001,160.51450000000003,2013-04-01
6643,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.17,60.6949,2013-04-01
6644,Pastas dental,Unidad de 115 grs ,2.13,28.25,60.1725,2013-04-01
6645,Fósforos,Cajita de 40 cerrillos,10.87,0.99,10.761299999999999,2013-04-01
6646,Escoba ,Unidad,1.22,37.39,45.6158,2013-04-01
6647,Papel higiénico,Rollos,10.71,10.75,115.13250000000001,2013-04-01
6648,Jabón de baño,Unidad,4.67,5.75,26.8525,2013-04-01
6649,Toallas sanitarias ,Bolsa de 10 unid,2.21,14.22,31.4262,2013-04-01
6650,Desodorante nacional,Unidad,1.9,20.8,39.519999999999996,2013-04-01
6651,Cepillo dental,Unidad,2.49,9.89,24.626100000000005,2013-04-01
6652,Alquiler,Valor (C$) mensual,1,900,900,2013-04-01
6653,Gas butano , 25 libras,1,252.63642384963345,252.63642384963345,2013-04-01
6654,Luz eléctrica,KWH,100,2.4698602500000004,246.98602500000004,2013-04-01
6655,Agua,Galones,5292,0.015590373999092976,82.50425920320004,2013-04-01
6656,Transporte ,Pasaje,240,2.5,600,2013-04-01
6657, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,316.3,196.51405899434496,2013-04-01
6658, Camisa manga corta ,Unidad,0.6600037006796985,101.93,67.27417721028168,2013-04-01
6659, Calzoncillos,Unidad,1.56501893310219,31.09,48.656438630147086,2013-04-01
6660, Calcetines,Par,1.3198798072969047,23.490000000000002,31.003976673404292,2013-04-01
6661," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,328.37,141.92522578592582,2013-04-01
6662, Blusa manga corta ,Unidad,0.66,85.01,56.10660000000001,2013-04-01
6663, Pantalón largo de tela de jeans ,Unidad,0.51,297.12,151.5312,2013-04-01
6664, Vestido entero ,Unidad,0.5,222.70000000000002,111.35000000000001,2013-04-01
6665, Calzones/ Bikinis,Unidad,1.23,28.66,35.2518,2013-04-01
6666, Brassiers/ sostén,Unidad,0.97,32.31,31.340700000000002,2013-04-01
6667, Sandalias de cuero sintético ,Par,0.44,199.17000000000002,87.63480000000001,2013-04-01
6668, Traje completo,Unidad,0.5019645078350022,228.94,114.91975442374542,2013-04-01
6669, Calzones,Unidad,1.4326365541172035,20.26,29.025216586414544,2013-04-01
6670, Calcetines,Par,1.3882846737113883,19.92,27.65463070033086,2013-04-01
6671, Zapato de cuero sintético ,Par,0.44713223086502013,260.27,116.37510572723878,2013-04-01
6672,Arroz ,Libra,38,10.75,408.5,2013-05-01
6673,Frijol ,Libra,34,8.74,297.16,2013-05-01
6674,Azúcar ,Libra,30,8.74,262.2,2013-05-01
6675,Aceite ,Litro,7,33.85,236.95000000000002,2013-05-01
6676,Posta de res,Libra,8,56.9,455.2,2013-05-01
6677,Posta de cerdo,Libra,5,53.05,265.25,2013-05-01
6678,Carne de aves,Libra,8,29.96,239.68,2013-05-01
6679,Chuleta de pescado,Libra,9,61,549,2013-05-01
6680,Leche ,Litro,30,21.549999999999994,646.4999999999998,2013-05-01
6681,Huevos,Docena,7,40.87,286.09,2013-05-01
6682,Queso seco,Libra,9,53.97,485.73,2013-05-01
6683,Tortilla ,Libra,57,12.2,695.4,2013-05-01
6684,Pinolillo,Libra,10,20.86,208.6,2013-05-01
6685,Pastas alimenticias  ,Libra,5,20.56,102.8,2013-05-01
6686,Pan ,Libra,27,19.19,518.13,2013-05-01
6687,Tomate de cocinar,Libra,14,15.15,212.1,2013-05-01
6688,Cebolla blanca,Libra,8,26.27,210.16,2013-05-01
6689,Papas,Libra,15,13.88,208.20000000000002,2013-05-01
6690,Ayote,Libra,32,7.48,239.36,2013-05-01
6691,Chiltoma ,Libra,3,35.09,105.27000000000001,2013-05-01
6692,Plátano verde,Libra,16,7.41,118.56,2013-05-01
6693,Naranja ,Libra,46,7.04,323.84,2013-05-01
6694,Repollo,Libra,2,8.7,17.4,2013-05-01
6695,Jabón de lavar ropa,Unidad,12.55,12.88,161.644,2013-05-01
6696,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.19,61.25429999999999,2013-05-01
6697,Pastas dental,Unidad de 115 grs ,2.13,28.39,60.4707,2013-05-01
6698,Fósforos,Cajita de 40 cerrillos,10.87,0.99,10.761299999999999,2013-05-01
6699,Escoba ,Unidad,1.22,37.39,45.6158,2013-05-01
6700,Papel higiénico,Rollos,10.71,10.74,115.0254,2013-05-01
6701,Jabón de baño,Unidad,4.67,5.69,26.572300000000002,2013-05-01
6702,Toallas sanitarias ,Bolsa de 10 unid,2.21,14.38,31.7798,2013-05-01
6703,Desodorante nacional,Unidad,1.9,20.8,39.519999999999996,2013-05-01
6704,Cepillo dental,Unidad,2.49,9.89,24.626100000000005,2013-05-01
6705,Alquiler,Valor (C$) mensual,1,900,900,2013-05-01
6706,Gas butano , 25 libras,1,254.78390934532283,254.78390934532283,2013-05-01
6707,Luz eléctrica,KWH,100,2.4799510000000002,247.99510000000004,2013-05-01
6708,Agua,Galones,5292,0.015590373999092976,82.50425920320004,2013-05-01
6709,Transporte ,Pasaje,240,2.5,600,2013-05-01
6710, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,317.47,197.24096841269267,2013-05-01
6711, Camisa manga corta ,Unidad,0.6600037006796985,103.51,68.3169830573556,2013-05-01
6712, Calzoncillos,Unidad,1.56501893310219,31.09,48.656438630147086,2013-05-01
6713, Calcetines,Par,1.3198798072969047,23.49,31.00397667340429,2013-05-01
6714," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,329.24,142.3012496201182,2013-05-01
6715, Blusa manga corta ,Unidad,0.66,85.03,56.119800000000005,2013-05-01
6716, Pantalón largo de tela de jeans ,Unidad,0.51,297.6,151.776,2013-05-01
6717, Vestido entero ,Unidad,0.5,222.77,111.385,2013-05-01
6718, Calzones/ Bikinis,Unidad,1.23,28.63,35.2149,2013-05-01
6719, Brassiers/ sostén,Unidad,0.97,32.31,31.340700000000002,2013-05-01
6720, Sandalias de cuero sintético ,Par,0.44,198.3,87.25200000000001,2013-05-01
6721, Traje completo,Unidad,0.5019645078350022,229.91,115.40665999634537,2013-05-01
6722, Calzones,Unidad,1.4326365541172035,20.48,29.340396628320327,2013-05-01
6723, Calcetines,Par,1.3882846737113883,19.97,27.724044934016423,2013-05-01
6724, Zapato de cuero sintético ,Par,0.44713223086502013,257.37,115.07842225773024,2013-05-01
6725,Arroz ,Libra,38,10.74,408.12,2013-06-01
6726,Frijol ,Libra,34,9.16,311.44,2013-06-01
6727,Azúcar ,Libra,30,8.74,262.2,2013-06-01
6728,Aceite ,Litro,7,33.71,235.97,2013-06-01
6729,Posta de res,Libra,8,57.74,461.92,2013-06-01
6730,Posta de cerdo,Libra,5,52.47,262.35,2013-06-01
6731,Carne de aves,Libra,8,30.16,241.28,2013-06-01
6732,Chuleta de pescado,Libra,9,60.21,541.89,2013-06-01
6733,Leche ,Litro,30,22.24,667.1999999999999,2013-06-01
6734,Huevos,Docena,7,43.03,301.21000000000004,2013-06-01
6735,Queso seco,Libra,9,46.11,414.99,2013-06-01
6736,Tortilla ,Libra,57,12.88,734.1600000000001,2013-06-01
6737,Pinolillo,Libra,10,20.88,208.79999999999998,2013-06-01
6738,Pastas alimenticias  ,Libra,5,20.88,104.39999999999999,2013-06-01
6739,Pan ,Libra,27,18.87,509.49,2013-06-01
6740,Tomate de cocinar,Libra,14,14.73,206.22,2013-06-01
6741,Cebolla blanca,Libra,8,33.25,266,2013-06-01
6742,Papas,Libra,15,16.2,243,2013-06-01
6743,Ayote,Libra,32,12.11,387.52,2013-06-01
6744,Chiltoma ,Libra,3,31.59,94.77,2013-06-01
6745,Plátano verde,Libra,16,7.38,118.08,2013-06-01
6746,Naranja ,Libra,46,8.17,375.82,2013-06-01
6747,Repollo,Libra,2,10.370000000000001,20.740000000000002,2013-06-01
6748,Jabón de lavar ropa,Unidad,12.55,12.9,161.895,2013-06-01
6749,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.21,61.8137,2013-06-01
6750,Pastas dental,Unidad de 115 grs ,2.13,28.53,60.7689,2013-06-01
6751,Fósforos,Cajita de 40 cerillos,10.87,0.99,10.761299999999999,2013-06-01
